A00;Kolera
A00.0;Kolera, ki jo povzroèa Vibrio cholerae 01, biovar cholerae
A00.1;Kolera, ki jo povzroèa Vibrio cholerae 01, biovar eltor
A00.9;Kolera, neopredeljena
A01;Tifus in paratifus
A01.0;Tifus
A01.1;Paratifus A
A01.2;Paratifus B
A01.3;Paratifus C
A01.4;Paratifus, neopredeljen
A02;Druge infekcije zaradi salmonel
A02.0;Salmonelni enteritis
A02.1;Salmonelna sepsa
A02.2;Lokalizirane salmonelne infekcije
A02.8;Druge opredeljene salmonelne infekcije
A02.9;Salmonelna infekcija, neopredeljena
A03;Šigeloza (griža)
A03.0;Griža, ki jo povzroèa Shigella dysenteriae
A03.1;Griža, ki jo povzroèa Shigella flexneri
A03.2;Griža, ki jo povzroèa Shigella boydii
A03.3;Griža, ki jo povzroèa Shigella sonnei
A03.8;Druge griže
A03.9;Griža, neopredeljena
A04;Druge bakterijske èrevesne infekcije 
A04.0;Infekcija, ki jo povzroèa enteropatogena Escherichia coli
A04.1;Infekcija, ki jo povzroèa enterotoksigena Escherichia coli
A04.2;Infekcija, ki jo povzroèa enteroinvazivna Escherichia coli
A04.3;Infekcija, ki jo povzroèa enterohemoragièna Escherichia coli
A04.4;Druge èrevesne infekcije, ki jih povzroèa Escherichia coli
A04.5;Enteritis, ki ga povzroèa kampilobakter
A04.6;Enteritis, ki ga povzroèa Yersinia enterocolitica
A04.7;Enterokolitis, ki ga povzroèa Clostridium difficile
A04.8;Druge opredeljene èrevesne infekcije, ki jih povzroèajo bakterije
A04.9;Èrevesna bakterijska infekcija, neopredeljena
A05;Druge zastrupitve z bakterijami, ki se prenašajo s hrano, ki niso uvršèene drugje
A05.0;Stafilokokna zastrupitev s hrano
A05.1;Botulizem
A05.2;Zastrupitev s hrano, ki jo povzroèa Clostridium perfringens [Clostridium welchii]
A05.3;Zastrupitev s hrano, ki jo povzroèa Vibrio parahaemolyticus
A05.4;Zastrupitev s hrano, ki jo povzroèa Bacillus cereus
A05.8;Druge opredeljene bakterijske zastrupitve s hrano
A05.9;Bakterijska zastrupitev s hrano, neopredeljena
A06;Ameboza
A06.0;Akutna amebna dizenterija
A06.1;Kronièna èrevesna ameboza
A06.2;Amebni nedizenterièni kolitis
A06.3;Amebom èrevesja
A06.4;Jetrni amebni absces
A06.5;Pljuèni amebni absces
A06.6;Možganski amebni absces
A06.7;Kožna ameboza
