19;Anexate 100 mikrogramov/ml raztopina za injiciranje ali infundiranje
27;Amaryl 1 mg tablete
35;EPOMAX INJEKCIJE 4000 i.e./ml
43;Adsorbirano cepivo proti davici
51;Enbrel 25 mg raztopina za injiciranje v napolnjeni injekcijski brizgi
60;DuoTrav 40 mikrogramov/ml + 5 mg/ml kapljice za oko, raztopina
78;FENALGIN tablete
86;SYMMETREL tablete
94;ANTABUS 400 mg šumeèe tablete
108;Amaryl 2 mg tablete
116;Jurnista 16 mg tablete s podaljšanim sprošèanjem
124;ANTAGOSAN
132;Arimidex 1 mg filmsko obložene tablete
140;Amaryl 3 mg tablete
159;ANALGIN 500 mg tablete
167;TASMAR filmsko obložene tablete 200 mg
175;TASMAR
183;RANITAL 75 mg filmsko obložene tablete
205;PULMOVENT
213;PROREKTAL S SIRUP
221;DORMICUM
230;Jurnista 32 mg tablete s podaljšanim sprošèanjem
256;Abaktal 400 mg filmsko obložene tablete
264;Abaktal 80 mg/ml koncentrat za raztopino za infundiranje
272;Epivir 10 mg/ml peroralna raztopina
280;PROREKTAL 3,3 g/5 ml peroralna raztopina
299;POSICOR
302;Epivir 150 mg filmsko obložene tablete
310;ANEXATE injekcije
337;GRANOCYTE 34
345;Soludeks 150 mg/ml raztopina za injiciranje
353;KARMI KBT 450 CSMP trojna vreèka za kri
370;Jurnista 64 mg tablete s podaljšanim sprošèanjem
396;KARMI KBT 450 CAP trojna vreèka za kri
400;Avaglim 4 mg/4 mg filmsko obložene tablete
418;Betrion 20 mg/g mazilo
426;NAKLOFEN RETARD
434;ACETYSAL tablete 300 mg
442;KARMI KBT 350 CSMP trojna vreèka za kri
450;KARMI KBT 350 CAP trojna vreèka za kri
469;AMARYL 4,0
507;ACETYSAL  tablete 300 mg
515;AMARYL 6,0
523;ACETYSAL tablete 500 mg
540;Tysabri 300 mg koncentrat za raztopino za infundiranje
574;Karboprost Pfizer 0,25 mg/ml raztopina za injiciranje
582;Magnevist 0,5 mmol/ml raztopina za injiciranje v viali
590;ARTROCAM
604;Avaglim 8 mg/4 mg filmsko obložene tablete
612;Ultravist 300 mg/ml raztopina za injiciranje
620;KARMI KBS 450 CA enojna vreèka za kri
639;Amoksiklav 875 mg/125 mg filmsko obložene tablete
647;ARTEIN
655;KARMI KBS 350 CA enojna vreèka za kri
663;DUROGESIC 12 mikrogramov/h transdermalni obliž
671;PENACTAM prašek za raztopino za injiciranje 750 mg
680;DUROGESIC 75 mikrogramov/h transdermalni obliž
698;ACETISAL
710;INEGY 10 mg/10 mg tablete
736;PENACTAM prašek za raztopino za injiciranje 1,5 g
744;Artein 20 mg tablete
752;ANGAL 2 mg/0,5 mg v 1 ml oralno pršilo, raztopina
760;INEGY 10 mg/20 mg tablete
779;KARMI KBD 450 CA dvojna vreèka za kri
795;NOVOCEF tablete 125 mg
809;ARICEPT 10 mg filmsko obložene tablete
817;Amoksiklav 500 mg/125 mg filmsko obložene tablete
825;KARMI KBD 350 CA dvojna vreèka za kri
833;EPOMAX INJEKCIJE 500 I. E./0,25 ml
868;INEGY 10 mg/80 mg tablete
876;ARICEPT 5 mg filmsko obložene tablete
884;EPOMAX INJEKCIJE 3000 I. E./0,75 ml
922;Oronazol 20 mg/g krema
930;ATROVENT
949;Oronazol 20 mg/g zdravilni šampon
957;EPOMAX INJEKCIJE 2000 I. E./0,5 ml
981;AQUAPHOR 10
990;INEGY 10 mg/40 mg tablete
1015;PENTILIN
1023;Diflazon 150 mg trde kapsule
1031;Diflazon 200 mg trde kapsule
1058;AQUAPHOR 20
1066;AQUAPHOR 40
1074;BILISCOPIN
1082;PROSTIN E2  vaginalni gel 1 mg
1090;PROSTIN E2  vaginalni gel 2 mg
1104;Piramil H 2,5 mg/12,5 mg tablete
1112;EPOMAX INJEKCIJE 1000 I. E./0,5 ml
1120;Ditamin 2,5 mg tablete
1139;Macropen 35 mg/ml zrnca za peroralno suspenzijo
1155;Piramil H 5 mg/25 mg tablete
1163;Enap 5 mg tablete
1171;BONIFEN gel 50 mg/1 g
1180;Subutex 0,4 mg podjezièna tableta
1198;Ciprinol 200 mg/100 ml raztopina za infundiranje
1201;Ciprinol 100 mg/50 ml raztopina za infundiranje
1210;Subutex 2 mg podjezièna tablete
1228;ACLOVIR mazilo za oko 3%
1236;DIGENOL
1244;Dormicum 5 mg/ml raztopina za injiciranje ali infundiranje
1252;Dormicum 7,5 mg filmsko obložene tablete
1260;Dormicum 1 mg/ml raztopina za injiciranje ali infundiranje
1279;EPOMAX INJEKCIJE 1000  I. E./ 0,5 ml
1287;FLIXOTIDE DISKHALER
1295;Glucotrol XL 10 mg tablete s podaljšanim sprošèanjem
1309;ANTAGOSAN 200 000
1317;Diflazon 50 mg trde kapsule
1325;HEMOHES 10%
1333;Hemohes 100 mg/ml raztopina za infundiranje
1341;Diflazon 100 mg trde kapsule
1350;Subutex 8 mg podjezièna tableta
1368;EPOMAX INJEKCIJE  4000 I. E./ml
1376;Tamsulozin Lek 0,4 mg trde kapsule s podaljšanim sprošèanjem
1384;Aspirin protect 100 mg gastrorezistentne tablete
1392;Adalat OROS 30 mg tablete s podaljšanim sprošèanjem
1406;Hemohes 60 mg/ml raztopina za infundiranje
1414;ACYNORM FORTE
1422;Tarka 180 mg/2 mg tablete s podaljšanim sprošèanjem
1430;Ultravist 370 mg/ml raztopina za injiciranje
1449;HEMOHES 6%
1457;Adavin 10 mg obložene tablete
1465;ADAVIN injekcije 4 mg
1473;NITRODERM TTS
1481;Yasminelle 0,02 mg/3 mg filmsko obložene tablete
1490;RotaTeq peroralna raztopina
1503;ADIABEN
1511;ADALAT
1520;Omnitrope 5 mg/ml prašek in topilo za raztopino za injiciranje
1538;Adalat OROS 60 mg tablete s podaljšanim sprošèanjem
1546;HUMATROPE
1554;HYZAAR 50 mg/12,5 mg filmsko obložene tablete
1562;DIHYDERGOT NASAL SPRAY 4 mg/ml
1570;AGLURAB 850 mg
1589;SAB Simplex 80 mg žveèljive tablete
1597;Diprosalic 0,5 mg/20 mg v 1 g dermalna raztopina
1627;Diprosalic 0,5 mg/30 mg v 1 g mazilo
1635;Exubera 1 mg prašek za inhaliranje, odmerjen
1643;Elocom 1 mg/g krema
1651;IRUMED 10 mg tablete
1660;Aglurab 1000 mg filmsko obložene tablete
1678;Elocom 1 mg/g dermalna raztopina
1686;Insulatard Penfill 100 i.e./ml suspenzija za injiciranje v injekcijskem vložku
1694;Elocom 1 mg/g mazilo
1708;IMIGRAN 50 mg filmsko obložene tablete
1716;LEVOVIST 4 g prašek in vehikel za suspenzijo za injiciranje
1724;IRUMED 20 mg tablete
1732;AETHER PRO NARCOSI
1740;LEVOVIST 2,5 g prašek in vehikel za suspenzijo za injiciranje
1759;KLACID 250 mg filmsko obložene tablete
1775;KLACID zrnca za pripravo suspenzije 125 mg/5 ml
1783;Mirena 20 mikrogramov/24 ur intrauterini dostavni sistem
1791;Activelle 1 mg/0,5 mg filmsko obložene tablete
1805;Vagifem 25 mikrogramov vaginalne tablete
1813;BERIPLEX P/N 250 I.E.
1821;BERIPLEX P/N 500 I.E.
1830;Klaritromicin Mylan 250 mg tablete
1848;Ortanol 20 mg trde kapsule
1856;PROVERA tablete 10 mg
1864;PROVERA tablete 5 mg
1872;CILAZIL TABLETE  0,5 mg
1880;Cilazil 1 mg filmsko obložene tablete
1899;Cilazil 2,5 mg filmsko obložene tablete
1902;Cilazil 5 mg filmsko obložene tablete
1910;Magnevist 0,5 mmol/ml raztopina za injiciranje v napolnjeni injekcijski brizgi
1929;AKINETON 5 mg/ml
1937;FRAXIPARINE 2850 i.e. anti-Xa/0,3 ml raztopina za injiciranje
1945;Actrapid  HM 40
1953;LACRYVISC 3 mg/g gel za oko
1961;ACTRAPID HM 100 PENFILL
1970;Klaritromicin Mylan 500 mg tablete
1988;AKINETON
1996;FRAXIPARINE 5700 i.e. anti-Xa/0,6 ml raztopina za injiciranje
2011;LIPOBAY 0,2
2020;ALENAX 70 mg tablete
2038;AKNOTEN krema
2046;LIPOBAY 0,3
2054;Rifater 50 mg/120 mg/300 mg obložene tablete
2062;TAFEN aerosol 50 mcg
2070;Tafen nasal 50 mikrogramov/odmerek pršilo za nos, suspenzija
2089;Td cepivo - ADSORBIRANO CEPIVO PROTI TETANUSU IN DAVICI ZA ODRASLE IN MLADINO
2097;Tetanol pur 40 i.e. suspenzija za injiciranje
2119;Monotard 40 i.e./ml
2127;Magnevist
2143;LYRICA 225 mg trde kapsule
2151;AKTIL tablete 3 mg
2160;Granisetron Lek 1 mg filmsko obložene tablete
2186;AKTIL kapsule 3 mg
2194;PROTAPHANE HM 40
2208;Magnevist 0,5 mmol/ml raztopina za injiciranje v steklenici
2224;Ultratard 40 i.e./ ml
2232;Rifinah 150 mg/100 mg obložene tablete
2240;Rifinah 300 mg/150 mg obložene tablete
2259;TARKA
2267;Granisetron Lek 2 mg filmsko obložene tablete
2275;Paclitaxel Ebewe 6 mg/ml koncentrat za raztopino za infundiranje
2283;FRAXIPARINE 7600 i.e. anti-Xa/0,8 ml raztopina za injiciranje
2291;ALATAN tablete
2305;NUBAIN
2313;GENOTROPIN 16 I.E.
2321;GENOTROPIN 5,3 mg/ml prašek in vehikel za raztopino za injiciranje
2340;Nebivolol Teva 5 mg tablete
2348;Loceryl 50 mg/ml zdravilni lak za nohte
2356;FLAREX 1 mg/ml kapljice za oko, suspenzija
2364;MIOSTAT 100 mikrogramov/ml raztopina za injiciranje
2372;GENOTAN  tablete 4 mg
2380;PROVERA zrnca 500 mg
2399;METRONIDAZOL Braun raztopina za intravensko infundiranje
2402;Monopril 10 mg tablete
2410;Monopril 20 mg tablete
2437;PROSTAPHLIN 250 mg
2453;Mixtard 10 Penfill 100 i.e./ml suspenzija za injiciranje v injekcijskem vložku
2461;Mixtard 20 Penfill 100 i.e./ml suspenzija za injiciranje v injekcijskem vložku
2488;PROSTAPHLIN 500 mg
2496;PROSTAPHLIN  1 g
2500;Paluxon 20 mg tablete
2518;OMNIC 0,4 mg
2526;DUOBLOC žveèljive tablete
2542;ULTRACORTENOL kapljice za oko
2550;SUMAMED za otroke 20 mg/ml prašek za peroralno suspenzijo
2569;SUMAMED 200 mg/5 ml prašek za peroralno suspenzijo
2577;SUMAMED 125 mg filmsko obložene tablete
2585;Calgel 3,3 mg/g + 1 mg/g dentalni gel
2593;SUMAMED 500 mg filmsko obložene tablete
2607;Allergodil 1 mg/ml pršilo za nos, raztopina
2615;ONKOTRONE 2 mg/ml raztopina za injiciranje
2623;NovoNorm 0,5 mg tablete
2631;NovoNorm 1 mg tablete
2640;Vasilip 80 mg filmsko obložene tablete
2658;NovoNorm 2 mg tablete
2666;COSOPT 20 mg/5 mg v 1 ml kapljice za oko, raztopina
2674;PROPECIA 1 mg filmsko obložene tablete
2682;MILTEX dermalna raztopina 60 mg/ml
2690;ULTRACORTENOL mazilo za oko
2704;Amiokordin 200 mg tablete
2712;Calpol 120 mg/5 ml peroralna suspenzija
2720;FIBROLAN
2739;Calpol 250 mg/5 ml peroralna suspenzija
2747;VENIMMUN N
2763;ALDOMET tablete 250 mg
2798;ALDOMET  tablete 500 mg
2810;VAXIGRIP PEDIATRIC
2836;IntronA 60 milijonov i.e., raztopina za injiciranje, veèodmerni peresnik
2844;IntronA 18 milijonov i.e., raztopina za injiciranje, veèodmerni peresnik
2852;IntronA 30 milijonov i.e., raztopina za injiciranje, veèodmerni peresnik
2860;INFANRIX - cepivo proti davici, tetanusu in oslovskemu kašlju (DTPa)
2879;ALDIZEM 60 mg tablete
2887;LONTERMIN aerosol za inhalacije 10 Ág
2909;HIBERIX
2917;TERUFLEX  BB AGT 356 I
2925;ALDIZEM 90 mg tablete
2933;TERUFLEX  BB AGT 456 E
2941;TERUFLEX  BB SCD 356 E
2950;Tonocardin 2 mg tablete
2968;TERUFLEX  BB SCD 456 E
2976;TERUFLEX  BB DCD 356 E
2984;ALEXAN
3000;Tonocardin 4 mg tablete
3018;Mixtard 30 Penfill 100 i.e./ml suspenzija za injiciranje v injekcijskem vložku
3026;TERUFLEX  BB DCD 456 E
3034;TERUFLEX  BB TCD 456 E
3050;Elderin 300 mg filmsko obložene tablete
3069;JODID 100 mcg tablete
3077;RISPERDAL 1 mg/ml peroralna raztopina
3085;ALTRAMET tablete 400 mg
3093;TARACEF 2x tablete s podaljšanim sprošèanjem 375 mg
3107;KAPTOPRIL ALKALOID 50 mg tablete
3115;KAPTOPRIL ALKALOID-INT 25 mg tablete
3123;ENAP-H 10 mg/25 mg tablete
3131;TARACEF
3166;Roferon-A 6 mio i.e./0,5 ml raztopina za injiciranje v napolnjeni injekcijski brizgi
3174;NATRII CHLORIDI INFUNDIBILE  0,9% Pharmagena
3182;VISINE A. C.
3190;Mixtard 40 Penfill 100 i.e./ml suspenzija za injiciranje v injekcijskem vložku
3220;Mixtard 50 Penfill 100 i.e./ml suspenzija za injiciranje v injekcijskem vložku
3239;SINGULAIR 10 mg filmsko obložene tablete
3247;Andol 100 mg tablete
3255;Accolate 20 mg filmsko obložene tablete
3263;SINGULAIR 5 mg žveèljive tablete
3271;ACCOLATE
3298;ALTRAMET tablete 200 mg
3301;Pentasa 500 mg tablete s podaljšanim sprošèanjem
3310;Nalgesin forte 550 mg filmsko obložene tablete
3328;ALKERAN tablete 5 mg
3336;PREMARIN 0,625
3344;ALTRAMET injekcije 200 mg/2 ml
3352;PREMARIN 1,25
3360;TOBRADEX 1 mg/3 mg v 1 ml kapljice za oko, suspenzija
3379;TOBRADEX 1 mg/3 mg v 1 g mazilo za oko
3395;MOVALIS 7,5 mg tablete
3409;ALCAINE 5 mg/ml kapljice za oko, raztopina
3417;Tifol 0,4 mg filmsko obložene tablete
3425;BETADINE dermalno pršilo
3441;DETRUSITOL 1 mg
3450;Natrijev klorid 9 mg/ml in glukoza 50 mg/ml Braun raztopina za infundiranje
3468;ALTRAMET tablete 300 mg
3476;DETRUSITOL 2 mg
3484;XENICAL 120 mg trde kapsule
3492;OTRIVIN kapljice za nos
3514;OTRIVIN kapljice za nos 0,5
3522;KALCIJ KARBONAT
3530;OTRIVIN pršilo za nos
3549;Detrunorm 15 mg obložene tablete
3557;Aprovel 75 mg tablete
3565;Aprovel 150 mg tablete
3573;OPTALIDON
3581;Aprovel 300 mg tablete
3603;Seroquel 25 mg in 100 mg
3611;Seroquel 25 mg filmsko obložene tablete
3620;Atimos 12 mikrogramov/sprožitev inhalacijska raztopina pod tlakom
